%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-74.47	155.27	2016	0	247	-40.8	NaN	-307.05	-38.57	1.51
-74.39	155.41	2018	10	249	-40.85	NaN	-305.91	-38.46	1.77
-74.3	155.57	2023	20	251	-40.92	NaN	-344.64	-43.09	0.08
-74.21	155.74	2025	30	253	-40.94	NaN	-323.25	-40.88	3.79
-74.13	155.81	2028	40	258	-40.98	NaN	-335.46	-42.32	3.1
-74.05	155.91	2052	50	261	-41.29	NaN	-320.95	-40.56	3.53
-73.99	156.04	2073	60	263	-41.57	NaN	-304.45	-38.35	2.35
-73.92	156.22	2086	70	265	-41.73	NaN	-331.19	-41.98	4.65
-73.85	156.42	2091	80	264	-41.8	NaN	-323.17	-40.63	1.87
-73.78	156.63	2107	90	260	-42.01	NaN	-318.7	-40.45	4.9
-73.71	156.8	2129	100	257	-42.29	NaN	-339.77	-43.26	6.31
-73.64	157	2171	110	254	-42.84	NaN	-307.16	-39.12	5.8
-73.56	157.19	2188	120	251	-43.06	NaN	-306.86	-39.02	5.3
-73.49	157.38	2195	130	249	-43.15	NaN	-313.78	-39.75	4.22
-73.42	157.57	2197	140	247	-43.17	NaN	-301.64	-38.26	4.44
-73.35	157.76	2208	150	245	-43.12	NaN	-308.92	-39.17	4.44
-73.28	157.95	2231	160	244	-42.78	NaN	-300.52	-38.28	5.72
-73.2	158.12	2248	170	243	-42.52	NaN	-319.14	-41.24	10.78
-73.13	158.3	2251	180	243	-42.48	NaN	-298.76	-37.84	3.96
-73.05	158.5	2261	190	242	-42.33	NaN	-289.23	-36.72	4.53
-72.99	158.67	2282	200	243	-42.01	NaN	-302.52	-38.35	4.28
-72.91	158.84	2299	210	244	-41.76	NaN	-323.01	-41.1	5.79
-72.84	159.01	2312	220	245	-41.56	NaN	-299.39	-38.16	5.89
-72.71	159.03	2311	230	254	-41.32	NaN	-287.32	-36.47	4.44
-72.63	158.95	2299	240	253	-40.9	NaN	-279.94	-35.76	6.14
-72.54	158.88	2279	250	247	-40.2	NaN	-305.88	-38.5	2.12
-72.45	158.8	2267	260	241	-39.78	NaN	-289.38	-36.65	3.82
-72.37	158.74	2247	270	235	-39.08	NaN	-297.26	-37.72	4.5
-72.28	158.66	2234	280	230	-38.62	NaN	-269.71	-33.98	2.13
-72.2	158.57	2221	290	225	-38.16	NaN	-304.96	-38.47	2.8
-72.11	158.49	2208	300	220	-37.71	NaN	-260.9	-33.15	4.3
-72.02	158.51	2196	310	211	-37.29	NaN	-307.26	-38.93	4.18
-71.93	158.52	2188	320	203	-37.01	NaN	-295.99	-37.34	2.73
-70.52	158.64	2185	475	74	-36.9	NaN	-224.64	-28.58	4
-70.36	158.42	1723	485	73	-26.42	NaN	-230.71	-29.3	3.69
-71.89	158.54	2185	325	199	-36.9	NaN	-273.01	-34.29	1.31
-71.78	158.59	2177	335	189	-36.75	NaN	-267.61	-33.91	3.67
-71.69	158.64	2177	345	180	-36.75	NaN	-263.15	-33.24	2.77
-71.61	158.65	2169	355	173	-36.61	NaN	-270.19	-34.28	4.05
-71.52	158.62	2148	365	165	-36.22	NaN	-266.04	-33.62	2.92
-71.42	158.59	2121	375	155	-35.72	NaN	-268.64	-33.89	2.48
-71.33	158.56	2102	385	147	-35.37	NaN	-247.49	-31.31	2.99
-71.25	158.46	2070	395	140	-34.79	NaN	-256.41	-32.41	2.87
-71.18	158.28	2049	405	137	-34.4	NaN	-254.27	-32.36	4.61
-71.08	158.32	2021	415	127	-33.71	NaN	-273.58	-34.37	1.38
-70.99	158.37	1993	425	118	-33.03	NaN	-255.89	-32.52	4.27
-70.9	158.44	1964	435	108	-32.32	NaN	-247.94	-31.47	3.82
-70.82	158.56	1954	445	99	-32.08	NaN	-258.25	-32.8	4.15
-70.76	158.7	1947	455	90	-31.9	NaN	-254.06	-32.16	3.22
-70.68	158.86	1946	465	80	-31.85	NaN	-243.12	-30.97	4.64
-73.1	165.47	2960	85	85	-33.1	13.1	NaN	-34.33	NaN
-73.92	163.75	1800	53	53	-29	20.3	NaN	-32.91	NaN
-74.6	163.05	650	50	50	-20.8	26	NaN	-25.48	NaN
-73.63	160.15	1980	164	164	-35.1	14.6	NaN	-36.5	NaN
-73.85	165.1	150	46	46	-18.2	26	NaN	-24.78	NaN
-75.52	165.32	40	41	41	-20	16	NaN	-22.2	NaN
-74.64	157.5	1776	183	183	-38.5	5.4	NaN	-36.92	NaN
-74.02	155.95	2065	263	263	-41.8	11.2	NaN	-41.14	NaN
NaN	NaN	NaN	NaN	NaN	-44.5	1.5	NaN	-39.31	NaN
-75.54	145.86	2454	464	464	-47.8	4.5	NaN	-47.2	NaN
-75.62	140.63	2611	594	594	-48.4	3.1	NaN	-48.62	NaN
-75.6	135.81	2792	718	718	-50.5	2.2	NaN	-51.26	NaN
-75.45	129.81	3024	877	877	-51	2.9	NaN	-52.26	NaN
-68.94	136.93	2333	268	268	-38.5	21.3	NaN	-38.65	NaN
-70.87	141.38	2244	383	383	-42.3	11.7	NaN	-38.76	NaN
-71.71	145.26	2143	388	388	-42.3	11.2	NaN	-38.43	NaN
-72.63	150.17	2137	452	452	-42.8	8.4	NaN	-37.99	NaN
-72.39	154.48	2126	325	325	-41.5	10	NaN	-36.28	NaN
-71.89	158.53	2184	199	199	-36.9	12.9	NaN	-35.61	NaN
-70.68	158.86	1947	80	80	-31.8	24.1	NaN	-31.23	NaN
-72.77	159.07	2316	249	249	-41.5	8.7	NaN	-36.83	NaN
-66.73	112.83	1390	89	89	-21.2	NaN	-167	-21.1	5.3
-67.71	109.8	1386	99	99	-24	NaN	-202.2	-25.7	5
-68.41	112.21	1630	213	213	-26.8	NaN	-239.2	-30.2	2.7
-69.35	111.85	2119	299	299	-33.8	NaN	-253.1	-32.3	5.1
-69.8	112.01	2310	348	348	-35.8	NaN	-261.1	-33.1	3.8
