%Latitude	Longitude	Elevation (m)	WMO Station #	Weighted Annual d2H (‰)	Weighted Annual d18O (‰)	Weighted Annual d-excess (‰)	Weighted Monthly d2H (‰)	Weighted Monthly d18O (‰)	Weighted Monthly d-excess (‰)
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	20.00	1.19	10.48
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-8.59	-2.52	11.58
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-3.14	-0.84	3.55
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	7.95	-0.42	11.31
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-123.78	-12.75	10.28
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-102.82	-12.12	0.85
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-92.91	-11.16	4.22
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-32.00	-5.80	12.34
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-67.53	-8.47	2.01
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-48.50	-6.49	2.52
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-55.98	-6.37	0.63
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-49.10	-5.27	-4.52
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-25.15	-4.22	5.11
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-86.89	-8.15	7.48
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-75.21	-9.60	14.34
46.25	48.03	-18.00	3488000	-64.81	-8.04	4.47	-103.67	-11.33	10.48
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-24.33	-5.02	15.81
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-43.69	-7.22	14.11
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-61.50	-8.86	9.39
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-42.80	-6.90	12.40
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-4.75	-1.20	4.85
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-14.30	-2.55	6.12
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-11.13	-3.07	13.43
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-57.36	-8.21	8.36
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	6.61	-0.08	7.24
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-6.92	-2.49	13.01
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-33.78	-5.34	8.95
-25.27	-57.63	65.00	8621700	-37.75	-6.20	11.82	-39.00	-6.83	15.63
37.90	23.73	27.00	1671600	-34.21	-6.30	14.35	-42.18	-6.55	13.84
37.90	23.73	27.00	1671600	-34.21	-6.30	14.35	-27.27	-6.92	15.54
37.90	23.73	27.00	1671600	-34.21	-6.30	14.35	-40.24	-5.72	12.48
37.90	23.73	27.00	1671600	-34.21	-6.30	14.35	-27.97	-4.56	9.05
