%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
27.33	126	-11.0026	-77.1711	82	26.0902	24.8
27.31	126	-10.9027	-78.0272	84	26.1674	24.8
27.29	126	-10.8043	-78.3294	84	26.1786	25
27.27	126	-10.7104	-78.5812	84	26.2573	25.1
27.24	126	-10.5195	-78.4805	83	26.3969	25.4
27.22	126	-10.3315	-78.0776	83	26.5004	25.3
27.2	126	-10.4328	-77.7754	84	26.5451	25.3
27.17	126	-10.2345	-77.3222	84	26.5618	25.3
27.15	126	-10.3344	-77.3725	83	26.5664	25.2
27.12	126	-10.4343	-77.3222	83	26.5374	25.3
27.1	126.01	-10.4357	-77.1711	83	26.4728	25.2
27.08	126.01	-10.4357	-77.2718	83	26.4154	25.3
27.06	126.01	-10.4343	-77.4229	83	26.3581	25.4
27.03	126.01	-10.3373	-77.3725	84	26.3294	25.2
27.01	126.01	-10.3387	-76.8186	84	26.3893	25.2
26.58	126	-10.2417	-76.8689	84	26.4746	25.3
26.56	126	-10.1448	-76.9193	83	26.5177	25.4
26.54	126	-10.2446	-76.9697	82	26.505	25.6
26.5	126	-10.2432	-76.8186	81	26.544	25.6
26.48	126	-10.2446	-76.9697	81	26.6701	25.8
26.46	126	-10.2432	-76.5164	81	26.7589	25.7
26.44	126	-10.2417	-76.5668	81	26.7304	25.7
26.42	126	-10.0478	-76.1639	81	26.6848	25.7
26.39	126	-10.0492	-76.0128	81	26.661	25.6
26.36	126	-10.1448	-76.1135	82	26.6418	25.6
26.34	126	-10.0463	-76.0128	82	26.6243	25.7
26.32	126	-9.9479	-75.8114	83	26.6297	25.7
26.29	126	-9.8509	-75.8617	83	26.6571	25.7
26.27	126	-9.8552	-75.6099	84	26.6582	25.7
26.24	126	-9.7582	-75.2574	84	26.64	25.7
26.22	126	-9.6625	-75.056	84	26.6263	25.7
26.19	126	-9.2772	-74.1495	83	26.5957	25.7
26.17	125.6	-9.0858	-73.3437	83	26.6427	25.8
26.15	125.59	-9.1828	-73.1927	83	26.6994	25.8
26.12	125.59	-9.1842	-72.7394	82	26.7727	25.9
26.09	125.6	-9.3769	-72.4876	81	26.9168	25.2
26.07	125.6	-9.3687	-72.5883	81	27.0981	25.2
26.04	125.6	-9.6541	-72.9409	82	27.1832	25.5
26.02	125.6	-9.6555	-72.6891	81	27.1907	25.5
25.6	125.6	-9.5627	-72.8905	81	27.1773	25.2
25.57	125.6	-9.6583	-72.6891	81	27.1875	25.3
25.55	125.6	-9.6597	-72.3365	81	27.1968	25.3
25.52	125.6	-9.6611	-72.1855	79	27.2214	25.5
25.49	125.6	-9.5641	-71.9337	77	27.2312	25.7
22.38	125.6	-13.7538	-58.7897	73	27.2773	26.9
22.36	125.6	-12.3713	-70.4229	73	27.4107	27
22.33	125.6	-10.8919	-77.6747	74	27.5078	27
22.31	125.6	-10.8888	-78.279	74	27.5533	27
22.28	125.6	-10.7058	-77.5236	74	27.564	27
22.26	125.6	-9.5899	-70.9768	74	27.6432	26.9
22.24	125.6	-8.8947	-65.3365	75	27.734	27
22.21	125.6	-8.9427	-62.9696	74	27.7976	27
22.18	125.6	-8.0459	-61.7106	73	27.8408	27.1
22.16	125.6	-9.5738	-68.9624	73	27.8653	27
22.14	125.6	-9.4712	-69.8185	74	27.8756	27
22.11	125.6	-9.6667	-69.8689	75	27.8814	27
22.09	125.6	-9.6667	-69.7682	75	27.8827	27
22.06	125.6	-9.5683	-69.466	75	27.8705	27
22.04	125.6	-9.5697	-69.4157	76	27.8574	27
22.01	125.6	-9.3742	-69.6675	75	27.8444	27.1
21.59	125.6	-9.3769	-68.9624	76	27.8274	27.2
21.56	125.6	-9.3783	-69.4157	75	27.8326	27.2
21.54	125.59	-9.3783	-69.5164	75	27.897	27.3
21.51	125.59	-9.4767	-69.4157	75	28.0252	27.2
21.49	125.6	-9.3797	-69.0631	76	28.1565	27.3
21.46	125.6	-9.6763	-69.4157	73	28.2341	27.3
21.43	125.6	-9.4795	-69.5164	75	28.2737	27.4
21.41	125.6	-9.4795	-69.5164	75	28.3147	27.5
21.38	125.6	-9.5779	-69.4157	75	28.3584	27.4
21.36	125.6	-9.3824	-69.466	76	28.3691	27.5
21.33	126	-9.5779	-69.3149	75	28.3437	27.5
21.31	126	-9.381	-69.5164	76	28.3238	27.5
21.28	126	-9.5792	-69.3653	75	28.3215	27.5
21.26	126	-9.5792	-68.9624	76	28.3295	27.4
21.23	126	-9.4808	-69.2646	75	28.3342	27.5
21.21	125.6	-9.3864	-69.3149	76	28.286	27.5
21.18	125.6	-9.5833	-69.4157	76	28.2382	27.5
21.15	125.6	-9.3864	-69.5164	76	28.2144	27.6
21.13	126	-9.4848	-69.6171	75	28.217	27.5
21.11	126	-9.3864	-69.7178	75	28.2271	27.5
21.09	126	-9.288	-69.7178	76	28.2496	27.5
21.06	126	-9.7761	-69.8689	75	28.2586	27.5
21.03	126	-9.3824	-69.6675	75	28.2513	27.5
21.01	126	-9.3851	-69.6675	76	28.2558	27.5
20.59	125.6	-9.5833	-69.7178	75	28.2953	27.5
20.56	125.6	-9.6803	-69.8689	75	28.3086	27.5
20.54	125.6	-9.5806	-69.9193	76	28.2875	27.5
20.51	125.6	-9.9702	-70.2718	75	28.2704	27.6
20.48	125.6	-9.7706	-70.5739	76	28.2615	27.6
20.46	125.6	-9.3891	-70.1207	77	28.2594	27.5
20.44	125.6	-9.6817	-69.9193	76	28.2776	27.5
20.42	126	-9.679	-70.3221	75	28.2923	27.1
20.39	126	-9.8731	-70.4229	78	28.301	27.2
20.37	126	-9.7761	-70.3725	76	28.3032	27.4
20.32	126	-10.0631	-71.0775	77	28.3022	27.3
20.32	126	-10.246	-73.3941	77	28.3063	27.3
20.29	126	-10.3402	-73.5452	76	28.3166	27.5
20.27	126	-10.4414	-73.5452	77	28.332	27.4
20.25	126	-10.5298	-74.3006	75	28.3406	27.5
20.22	126	-10.4357	-75.056	77	28.3402	27.5
20.2	126	-10.0576	-73.3941	76	28.3274	27.5
20.17	126	-9.5899	-71.4804	75	28.2955	27.5
20.15	126	-9.5952	-70.5739	75	28.2601	27.5
20.12	126	-9.5032	-69.6171	74	28.2383	27.5
20.09	126	-9.3128	-68.6603	74	28.2234	27.6
20.07	126	-9.4112	-67.8545	75	28.2091	27.6
20.05	126	-9.5912	-69.4157	75	28.2006	27.6
20.02	126	-9.4902	-69.9193	76	28.1899	27.6
19.6	126	-9.5899	-69.8689	75	28.1809	27.6
19.57	126	-9.1989	-69.6675	75	28.1727	27.7
19.55	126	-9.2893	-69.466	73	28.1705	27.8
