%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-70.58666667	-60.925	NaN	1986-01-01	-19.48	NaN	NaN
-70.60283333	-8.364166667	39	NaN	-18.57	-145	NaN
-70.61194722	60.78303611	2580	1990-01-01	-40.46	-318.81	-40.1
-70.61666667	60.73333056	396	NaN	-19.61	NaN	-17.5
-70.65	-8.25	40	2000-01-01	-20.85	-158.59	-16
-70.66666667	-64.86666667	2002	1988-01-01	-24.64	NaN	-21
-70.68	158.86	1947	2002-01-01	-31.23	NaN	-31.8
-70.6842	158.8624833	1946	2002-01-01	-30.97	-243.12	-31.9
-70.68527778	59.06666667	2753	1990-01-01	-41.05	-321.33	NaN
-70.71729167	133.622625	2545	1973-01-01	NaN	-304.9	-42.6
-70.75	111.56	2623	1984-01-01	-40	-314.4	-41.8
-70.755	111.566	2621	NaN	-38.9	NaN	-41.8
-70.75601667	158.7005	1947	2002-01-01	-32.16	-254.06	-31.9
-70.78871944	98.07611389	2992	1985-01-01	-40.87	-321.13	-43.5
-70.81411667	141.34535	2247	2002-01-01	-37.94	-298.25	-42.2
-70.81696667	158.5563	1954	2002-01-01	-32.8	-258.25	-32.1
-70.83333056	64.45	1987	NaN	-26.48	NaN	-21.4
-70.83465	77.0755	1850	1994-01-01	-33.12	NaN	NaN
-70.83465	77.0755	1850	1994-01-01	-33.39	NaN	NaN
-70.8355	77.07916667	1851	1990-01-01	-32.31	-255.16	-28.2
-70.85005833	60.31004722	2575	1990-01-01	-39.94	-313.28	-40
-70.862725	133.35675	2580	1973-01-01	NaN	-311.3	-42.9
-70.87	141.38	2244	2002-01-01	-38.76	NaN	-42.3
-70.88333056	64.95	1835	NaN	-25.77	NaN	-20.2
-70.89871667	158.44465	1964	2002-01-01	-31.47	-247.94	-32.3
-70.8989	99.1631	NaN	NaN	-41.5	-321	NaN
-70.93081667	141.5141	2247	2002-01-01	-38.9	-306.28	-42.3
-70.94833333	-8.5205	57	NaN	NaN	NaN	-18.1
-70.95	95.9	2980	1990-01-01	-43	-335.1	-42.5
-70.97	-64.68	2000	1990-01-01	-28.3	-220.6	-21.3
-70.99371667	158.3660833	1993	2002-01-01	-32.52	-255.89	-33
-71.04395278	59.66213889	2610	1990-01-01	-40.84	-320.37	-40.3
-71.04402222	12.33233333	848	NaN	-26.54	NaN	NaN
-71.06777778	58.3075	2817	1990-01-01	-39.39	-307.86	NaN
-71.07826944	11.59918056	1008	NaN	-27.92	NaN	NaN
-71.07993333	158.3223333	2021	2002-01-01	-34.37	-273.58	-33.7
-71.09542222	77.28878056	1988	1990-01-01	-34.81	-274.93	-28.5
-71.11070833	1.646266667	1013	NaN	-27.09	NaN	NaN
-71.11120278	132.89595	2630	1973-01-01	NaN	-319.7	-43.3
-71.11666667	62.33333056	1050	NaN	-25.94	NaN	-16.6
-71.11666667	139.25	2510	NaN	-41.3	NaN	-43.9
-71.14313056	11.69351111	1076	NaN	-28.48	NaN	NaN
-71.14931667	141.9941667	2169	2002-01-01	-40.07	-312.16	-41.7
-71.17	111.365	2696	NaN	-38.6	NaN	-43.4
-71.17	111.36	2696	1984-01-01	-39.5	-312.5	-43.4
-71.17703333	158.2829167	2049	2002-01-01	-32.36	-254.27	-34.4
-71.19166667	4.597222222	800	1998-01-01	-26.81	NaN	-20.3
-71.193275	98.53578056	3080	1985-01-01	-41.45	-326.54	-45.1
-71.20865	-6.791480556	600	NaN	-20.22	NaN	NaN
-71.23333056	63.36666667	1752	NaN	-26.68	NaN	-22.1
